iter	Logloss
0	0.5735134563
1	0.4901186041
2	0.430553648
3	0.3884885308
4	0.3490886782
5	0.3255085935
6	0.3120772394
7	0.2973393467
8	0.2795169735
9	0.2723365269
10	0.2596159108
11	0.2534392719
12	0.2491205537
13	0.2446724719
14	0.2376249485
15	0.2322230946
16	0.2249140867
17	0.2202318765
18	0.217057433
19	0.2135193073
20	0.211357241
21	0.209645614
22	0.2080896774
23	0.20580867
24	0.2035708025
25	0.2015737679
26	0.2007304673
27	0.1992831846
28	0.1961911123
29	0.1945047759
30	0.1935705478
31	0.19271416
32	0.1917675279
33	0.1893459028
34	0.188411907
35	0.1869865151
36	0.1859540795
37	0.1851156923
38	0.1843616572
39	0.1831755834
40	0.1822995843
41	0.1809084934
42	0.1796194954
43	0.1781329577
44	0.1770644494
45	0.176682708
46	0.1759738944
47	0.1754610756
48	0.1748481996
49	0.1737826995
50	0.1728463849
51	0.1720846047
52	0.1714348249
53	0.1705731616
54	0.1701789227
55	0.1695777848
56	0.1689628028
57	0.1685412781
58	0.168067941
59	0.1676578699
60	0.1674567254
61	0.1671311861
62	0.1665462301
63	0.1660725977
64	0.1659005216
65	0.1655344863
66	0.1650002933
67	0.1645476425
68	0.1643132989
69	0.1640259593
70	0.163646091
71	0.1633102957
72	0.1628167434
73	0.162814775
74	0.1624400956
75	0.1618196783
76	0.161370107
77	0.1610228616
78	0.1609624579
79	0.1609417936
80	0.1606070648
81	0.1601631673
82	0.1601510548
83	0.1597456442
84	0.1595046761
85	0.1593099001
86	0.1590661286
87	0.1590632189
88	0.1587811415
89	0.158370939
90	0.1580510004
91	0.1578925396
92	0.1574961178
93	0.1574290949
94	0.1572218247
95	0.1569605262
96	0.1566370553
97	0.156092197
98	0.1557978551
99	0.155511262
100	0.1552748634
101	0.1550350491
102	0.1548427847
103	0.154567158
104	0.1542441967
105	0.1539576992
106	0.1539566056
107	0.1536731852
108	0.1534054831
109	0.1532176931
110	0.1530246803
111	0.1528574953
112	0.1525365722
113	0.1522033077
114	0.1520995208
115	0.1518916114
116	0.1516686061
117	0.1514716143
118	0.1511392722
119	0.1509711379
120	0.150832323
121	0.1504961214
122	0.1502841301
123	0.1501703653
124	0.1500196428
125	0.1499773026
126	0.149895714
127	0.1497542901
128	0.1495254001
129	0.1493245645
130	0.1492203248
131	0.1490655218
132	0.1489019488
133	0.1488061284
134	0.1485731753
135	0.1485143067
136	0.1483937863
137	0.1483128254
138	0.1482056774
139	0.1480754476
140	0.1480389217
141	0.148038911
142	0.1479759016
143	0.1479758905
144	0.1478344496
145	0.1477685254
146	0.1477309755
147	0.1477309446
148	0.1476509887
149	0.1475915168
150	0.1475574255
151	0.1475574218
152	0.1474441256
153	0.1473533898
154	0.1473035042
155	0.147239663
156	0.1472396594
157	0.1472396503
158	0.1472157877
159	0.1471373458
160	0.147104601
161	0.147011646
162	0.1469194671
163	0.1467832011
164	0.1466403287
165	0.1465596162
166	0.146533095
167	0.1465057525
168	0.1464241251
169	0.1463396389
170	0.1462318772
171	0.146231874
172	0.1461699215
173	0.1461471535
174	0.1461471507
175	0.1461128595
176	0.1461128547
177	0.1461128535
178	0.1461128488
179	0.1460459098
180	0.1459796784
181	0.1459060354
182	0.1458018882
183	0.1457831017
184	0.1457535976
185	0.1456988491
186	0.1456676381
187	0.145615789
188	0.1455718858
189	0.1455283791
190	0.1454721929
191	0.1451965725
192	0.1449747725
193	0.1446988344
194	0.1443918207
195	0.1441863251
196	0.1440916144
197	0.1438581151
198	0.1438291756
199	0.1435540988
200	0.1434045775
201	0.1433443332
202	0.1431467754
203	0.143117501
204	0.1430944213
205	0.1430408441
206	0.1430241951
207	0.1429320975
208	0.1429143667
209	0.1429121782
210	0.1428681019
211	0.1428072086
212	0.1427212709
213	0.1426550388
214	0.14247778
215	0.1424395276
216	0.1423973088
217	0.1422921379
218	0.1421369904
219	0.1420836357
220	0.1420424934
221	0.1419630626
222	0.1417298007
223	0.1416727411
224	0.1416653325
225	0.1416125606
226	0.1415147548
227	0.1414671024
228	0.1413801265
229	0.1411953706
230	0.1410035891
231	0.1407862792
232	0.1407000754
233	0.1406494152
234	0.1406253743
235	0.1406141668
236	0.1406021121
237	0.1405537016
238	0.1404837829
239	0.1404000361
240	0.140360776
241	0.1403384781
242	0.1403026272
243	0.1402735553
244	0.1401062219
245	0.1399833944
246	0.1398093604
247	0.139670024
248	0.1396499141
249	0.1394570855
250	0.1392942059
251	0.1392569096
252	0.1392255276
253	0.1391912468
254	0.1391697611
255	0.1391303964
256	0.1389167237
257	0.1388761403
258	0.1388025974
259	0.1387571916
260	0.1385839147
261	0.1385427928
262	0.1383359459
263	0.1381340799
264	0.1379645767
265	0.1378146848
266	0.1376673126
267	0.1375068796
268	0.1373355511
269	0.1371754597
270	0.137052628
271	0.1370410463
272	0.1368798401
273	0.1368309396
274	0.1366385764
275	0.1365169918
276	0.1364755481
277	0.1363356135
278	0.1362819116
279	0.1362744116
280	0.1362662237
281	0.136243174
282	0.1362113495
283	0.1362036184
284	0.1361885823
285	0.1361614863
286	0.136115005
287	0.136056712
288	0.1360240358
289	0.1360224925
290	0.1360061686
291	0.135962404
292	0.1359257532
293	0.1359166742
294	0.1358806009
295	0.1358414895
296	0.1358061498
297	0.1357814404
298	0.1356043638
299	0.1354514506
